Smiles,nM-value,vVirus name
Cl.NC12CC3CC(CC(C3)C1)C2,1300000,Nipah virus
NC(=O)c1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)n1,12284.50923,Nipah virus
C1CC2CC3CCC2C(C1)C3,670000,Nipah virus
CC(=O)NC12CCCC3CC(CCC31)C2,750000,Nipah virus
Cl.NC12CCCC3CC(CCC31)C2,25000,Nipah virus
OC12CCCC3CC(CCC31)C2,3000000,Nipah virus
O[C@H]1C2CCCC3C[C@H]1CC[C@H]32,900000,Nipah virus
O=C1C2CCC3C(CCCC13)C2,1200000,Nipah virus
O[C@@H]1C2CCCC3C[C@@H]1CC[C@@H]32,750000,Nipah virus
O=C(O)C12CCCC3CC(CCC31)C2,10000000,Nipah virus
COC(=O)C12CCCC3CC(CCC31)C2,80000,Nipah virus
OCC12CCCC3CC(CCC31)C2,440000,Nipah virus
NC(=O)C12CCCC3CC(CCC31)C2,2600000,Nipah virus
CCCCCCCCOC(=O)C12CCCC3CC(CCC31)C2,330000,Nipah virus
C1C[C@@H]2[C@H](C1)[C@@H]1C[C@@H]2[C@@H](C23CCCC4CC(CCC42)C3)C1,950000,Nipah virus
CNC(=O)C12CCCC3CC(CCC31)C2,3000000,Nipah virus
CCCCNC(=O)C12CCCC3CC(CCC31)C2,625000,Nipah virus
O=C(NC1CCCCC1)C12CCCC3CC(CCC31)C2,2250000,Nipah virus
O=C(NC12CC3CC(CC(C3)C1)C2)C12CCCC3CC(CCC31)C2,7500000,Nipah virus
N#CC12CCCC3CC(CCC31)C2,570000,Nipah virus
Cl.NCC12CCCC3CC(CCC31)C2,45000,Nipah virus
O=P(O)(O[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21)O[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21,550000,Nipah virus
O=P(O[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21)(O[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21)O[C@H]1C[C@H]2C[C@H]1[C@@H]1CCC[C@H]21,1000000,Nipah virus
O=c1[nH]cnc2c1cc(-c1ccccc1)n2-c1ccccc1,9397.187805,Nipah virus
CC(C)COCC(CN(Cc1ccccc1)c1ccccc1)N1CCCC1,3210,Nipah virus
CN(C)CCCN1c2ccccc2CCc2ccccc21,13200,Nipah virus
CN1[C@@H]2CC[C@H]1C[C@@H](OC(c1ccccc1)c1ccccc1)C2,8070,Nipah virus
Nc1ncnc2c([C@@H]3N[C@H](CO)[C@@H](O)[C@H]3O)c[nH]c12,3000,Nipah virus
N=C(N)c1ccc2oc(/C=C/c3nc4cc(C(=N)N)ccc4[nH]3)cc2c1,100,Nipah virus
N#Cc1c(NCCN)nc(-c2ccccc2)c2c1CCCC2,24400,Nipah virus
O=[N+]([O-])c1cc(S(=O)(=O)NCCN2CCOCC2)ccc1Sc1nnnn1-c1ccccc1,1900,Nipah virus
